"Plot_Name","Plot","Panel","seed_den_1","seed_den_2","seed_den_3","sap_den_1","sap_den_2","sap_den_3","stock_1","stock_2","stock_3"
"COLO-347",347,"2",0.08,0.17,0.58,0.01,0.01,0,1.00530964914873,2.13628300444106,7.28849495632832
"COLO-351",351,"2",11.5,2.17,0.5,0,0,0,178.065471605469,60.6955700673548,6.28318530717959
"COLO-345",345,"2",0.08,0.75,0.67,0.04,0.04,0.02,8.41946831162065,17.84424627239,12.5663706143592
"COLO-335",335,"1",0,0.08,0,0.01,0.01,0.01,0,1.00530964914873,0
"COLO-350",350,"2",0,0.08,0.25,0,0,0,0,1.00530964914873,3.14159265358979
"COLO-354",354,"2",5.67,3.08,0.92,0.09,0.12,0.05,208.853079610649,221.545113931152,23.1221219304209
"COLO-379",379,"4",1.58,0.75,0.25,0.08,0.08,0.09,82.0584001117654,151.047774784597,60.0672515366368
"COLO-337",337,"1",0.17,0,0,0.02,0.01,0.01,2.13628300444106,0,0
"COLO-349",349,"2",0,0,0,0.02,0.02,0.02,0,0,0
"COLO-376",376,"4",0,0,0,0,0,0,0,0,0
"COLO-355",355,"2",0.33,0,0.08,0.13,0.04,0,21.1115026321234,0,1.00530964914873
"COLO-367",367,"3",0,0,0,0.04,0.04,0.02,0,0,0
"COLO-381",381,"4",0.08,0,0.17,0,0,0,1.00530964914873,0,2.13628300444106
"COLO-373",373,"4",0,0,0,0.02,0.02,0.01,0,0,0
"COLO-360",360,"3",0.42,0.08,0.08,0.06,0.05,0.05,20.1061929829747,8.41946831162065,8.41946831162065
"COLO-364",364,"3",0.17,0.5,0.25,0.12,0.07,0.02,69.240702085119,69.240702085119,4.14690230273853
"COLO-353",353,"2",3.92,4.67,2.17,0.05,0.06,0.06,50.2654824574367,98.5203456165759,112.092025880084
"COLO-377",377,"4",0.08,0.17,0.08,0,0,0,2.13628300444106,2.13628300444106,1.00530964914873
"COLO-334",334,"1",0.08,0.17,0,0,0,0,2.13628300444106,2.13628300444106,0
"COLO-340",340,"1",0.08,0,0,0,0,0,1.00530964914873,0,0
"COLO-336",336,"1",0.33,0.42,0.17,0.24,0.22,0.15,120.134503073274,165.12210987268,102.918575331602
"COLO-371",371,"4",0,0,0,0,0,0,0,0,0
"COLO-341",341,"1",0.33,0,0,0.01,0.01,0.01,4.14690230273853,0,0
"COLO-362",362,"3",0,0.08,0.08,0,0,0,0,2.13628300444106,1.00530964914873
"COLO-365",365,"3",0.67,0.08,0,0.01,0.01,0.01,9.42477796076938,1.00530964914873,0
"COLO-378",378,"4",0,0.33,0.08,0.02,0.02,0.02,0,5.27787565803085,1.00530964914873
"COLO-331",331,"1",0,0,0.17,0.05,0.05,0.02,0,0,2.13628300444106
"COLO-344",344,"2",0.08,0.17,0.67,0.02,0.04,0.04,8.41946831162065,9.55044166691297,9.42477796076938
"COLO-338",338,"1",0,0,0.08,0.06,0.05,0.04,7.41415866247191,0,1.00530964914873
"COLO-332",332,"1",0,0.08,0.08,0.01,0.01,0.01,7.41415866247191,8.41946831162065,8.41946831162065
"COLO-359",359,"3",0.92,0.17,0,0,0,0,16.7132729170977,4.14690230273853,0
"COLO-358",358,"3",0.08,0,0.33,0,0,0,1.00530964914873,0,4.14690230273853
"COLO-366",366,"3",2,1.75,4.83,0.01,0.01,0.01,27.2690242331594,25.1327412287183,91.106186954104
"COLO-357",357,"3",0.25,0.17,0.58,0.05,0.04,0.02,10.5557513160617,9.55044166691297,15.8336269740926
"COLO-352",352,"2",0.08,0.25,0.25,0,0,0,1.00530964914873,3.14159265358979,5.27787565803085
"COLO-375",375,"4",0.17,0,0.08,0.12,0.09,0.05,53.9097299356009,7.41415866247191,1.00530964914873
"COLO-346",346,"2",0.08,0.17,0.08,0.01,0,0,1.00530964914873,2.13628300444106,1.00530964914873
"COLO-372",372,"4",0.08,0.08,0,0.01,0.01,0,8.41946831162065,8.41946831162065,0
"COLO-348",348,"2",0,0,0,0.02,0.02,0.02,0,0,0
"COLO-374",374,"4",0.75,0.42,0.17,0.14,0.19,0.24,35.8141562509236,91.6088417786784,74.8955688615807
"COLO-361",361,"3",0,0,0,0.04,0.04,0.02,0,0,0
"COLO-370",370,"4",0,0,0.08,0,0,0,0,0,1.00530964914873
"COLO-363",363,"3",0.42,0.08,0.08,0,0,0,7.28849495632832,2.13628300444106,1.00530964914873
"COLO-339",339,"1",0,0.08,0,0.02,0.02,0.01,7.41415866247191,8.41946831162065,0
"COLO-368",368,"3",0,0.08,0,0,0,0,0,1.00530964914873,0
"COLO-342",342,"1",0,0,0,0.02,0.02,0.02,0,0,0
"COLO-333",333,"1",0,0,0,0.01,0.01,0.01,0,0,0
