"Plot_Name","Plot","Panel","seed_den_1","seed_den_2","seed_den_3","seed_den_4","sap_den_1","sap_den_2","sap_den_3","sap_den_4","stock_1","stock_2","stock_3","stock_4"
"GETT-030",30,"1",0.08,0.58,0.5,0,0.01,0.04,0.04,0.02,1.00530964914873,11.5610609652104,10.4300876099181,0
"GETT-033",33,"1",3.67,3.25,3,1.58,0.02,0.13,0.17,0.13,138.355740464094,373.472534658755,189.249541452249,162.734499455951
"GETT-090",90,"2",0,0,0.08,0.08,0.01,0.02,0.04,0,7.41415866247191,14.8283173249438,8.41946831162065,1.00530964914873
"GETT-175",175,"3",2.83,2.17,2.08,0.92,0,0,0,0,51.2707921065854,37.6991118430775,32.4212361850467,15.707963267949
"GETT-028",28,"1",4.92,6.83,1.83,1.17,0.08,0.11,0.2,0.02,204.580513601767,380.384038496652,246.049536629153,18.8495559215388
"GETT-253",253,"4",0.58,0.67,0.5,1,0.18,0.17,0.05,0.14,214.507946387111,174.421224127305,37.8247755492211,81.3044178749038
"GETT-035",35,"1",0.5,0.17,1.42,3.92,0.05,0.05,0.05,0.05,7.28849495632832,3.14159265358979,21.9911485751286,105.808840572904
"GETT-252",252,"4",0,0,0.08,0.17,0,0,0,0,0,0,1.00530964914873,2.13628300444106
"GETT-256",256,"4",0.17,0.08,0.33,0.25,0,0,0,0,2.13628300444106,1.00530964914873,5.27787565803085,4.14690230273853
"GETT-254",254,"4",0.33,0.08,0.25,0.33,0,0.01,0.01,0.01,4.14690230273853,8.41946831162065,10.5557513160617,5.27787565803085
"GETT-029",29,"1",0,0,0.08,0,0,0,0,0,0,0,1.00530964914873,0
"GETT-169",169,"3",0.08,0.08,0,0,0.01,0.01,0.01,0.01,1.00530964914873,1.00530964914873,0,0
"GETT-174",174,"3",0.42,0.42,0.5,0,0,0,0,0,6.28318530717959,8.41946831162065,29.2796435314569,0
"GETT-034",34,"1",2,2.42,1.67,1.58,0.01,0.01,0.24,0.31,117.244237831971,294.304399788292,289.152187836405,319.688468429297
"GETT-257",257,"4",0.25,0.25,0.17,0,0.08,0.11,0.08,0.07,27.5203516454466,33.8035369526262,31.6672539481851,14.8283173249438
"GETT-259",259,"4",0,0.42,0.42,0.67,0.05,0.06,0.05,0.02,0,6.28318530717959,9.42477796076938,15.707963267949
"GETT-092",92,"2",0.67,0.75,1.08,0.42,0.06,0.05,0.04,0.04,10.4300876099181,13.5716802635079,19.8548655706875,25.1327412287183
"GETT-093",93,"2",0.5,0.25,0.42,0.25,0.13,0.12,0.11,0.08,51.5221195188726,39.9610585536622,34.6831828956313,5.27787565803085
"GETT-170",170,"3",0.17,0.42,0.42,0.42,0,0.01,0.02,0.04,2.13628300444106,15.8336269740926,14.7026536188002,25.2584049348619
"GETT-167",167,"3",0.67,0.42,0.25,0,0.04,0.02,0.02,0.01,11.5610609652104,8.41946831162065,5.27787565803085,0
"GETT-356",356,"2",NA,2.75,2.92,2.75,NA,0.38,0.44,0.38,NA,423.36102599776,488.706153192428,310.892008999246
"GETT-255",255,"4",0.92,1,1.5,1.42,0.01,0.05,0.08,0.11,38.7044214922263,68.3610561421139,176.306179719459,121.76813125314
"GETT-171",171,"3",1.17,0.17,0.08,0,0,0,0,0,19.8548655706875,2.13628300444106,1.00530964914873,0
"GETT-031",31,"1",2.17,2.08,2.83,2.5,0.04,0.04,0.02,0.04,36.6938021939288,40.9663682028109,132.072555156915,276.585817222045
"GETT-087",87,"2",0.17,0.25,0.17,0.5,0.08,0.06,0.07,0.05,56.0460129400419,26.3893782901543,25.3840686410055,17.84424627239
"GETT-089",89,"2",1.33,0.67,0.33,0.08,0.02,0.06,0.05,0.02,127.799989148033,131.19290921391,46.3699075669853,28.3999975884517
"GETT-032",32,"1",1.17,2.08,1.67,1.25,0.01,0.01,0,0.02,33.552209540339,104.803530923756,120.385830485561,141.497333117684
"GETT-097",97,"2",0.42,0.17,0.08,0.83,0.02,0,0.05,0.07,14.7026536188002,54.4123847601752,31.6672539481851,104.049548686894
"GETT-091",91,"2",1.25,1.33,1,0.83,0.15,0.24,0.24,0,98.7716730288631,233.734493427081,177.939807899326,15.707963267949
"GETT-258",258,"4",0.42,0.17,0.08,0.42,0,0.04,0.02,0.04,8.41946831162065,25.3840686410055,15.8336269740926,21.1115026321234
"GETT-096",96,"2",2.08,2.75,1.83,1.42,0.02,0.08,0.13,0.22,159.215915683931,456.9132355381,365.178730053278,232.477856365645
"GETT-168",168,"3",0,0,0.08,0,0,0,0,0,0,0,1.00530964914873,0
"GETT-173",173,"3",0.67,1.17,0.83,0.5,0.02,0.08,0.05,0.06,78.6654800458884,106.185831691335,60.8212337734984,22.1168122812721
