"PlotCode","PanelCode","inv_cov_1","inv_cov_2","inv_cov_3","inv_cov_4","inv_cov_5","numspp_1","numspp_2","numspp_3","numspp_4","numspp_5"
21,"1",57.7916666666667,53.4833333333333,47.6083333333333,42.125,37.5166666666667,2,3,3,4,4
22,"1",44,46.9333333333333,42.3833333333333,62.375,46.9166666666667,2,3,4,5,4
23,"1",0,0,0,0,0,0,1,0,0,0
24,"1",1.45833333333333,15.0083333333333,24.9333333333333,54.5916666666667,31.2666666666667,2,2,1,2,2
25,"1",0,0.00833333333333333,3.75,4.60833333333333,1.25833333333333,0,1,1,2,1
26,"1",0,0,0,0,0,0,0,0,1,2
27,"1",0.141666666666667,0.308333333333333,11.475,7.58333333333333,24.5916666666667,2,2,2,2,2
65,"1",0,0,0,0,0,0,0,0,0,0
66,"1",0,0,0,0,0,0,0,0,0,0
67,"1",0,0,0,0,0,0,0,0,0,0
68,"1",0,0,0,0,0.00833333333333333,0,0,0,0,1
69,"1",0,0.00833333333333333,0,0,0,0,1,0,0,0
70,"1",0,0,0,0,0,0,0,0,0,0
103,"2",0,0,0,0,NA,0,0,0,0,NA
104,"2",0,0,0,0,NA,0,0,0,0,NA
105,"2",0,0,0,0,NA,0,0,0,0,NA
109,"2",0,0,0,0,NA,0,0,0,0,NA
110,"2",0,0,0,0,NA,0,0,0,0,NA
111,"2",0.0166666666666667,0.133333333333333,0.3,0.3,NA,1,1,1,1,NA
135,"2",0,0.00833333333333333,0,0,NA,0,1,1,1,NA
136,"2",2.5,4.175,6.46666666666667,3.35833333333333,NA,1,2,2,2,NA
137,"2",0.0166666666666667,0.133333333333333,1.75833333333333,3.875,NA,1,1,1,1,NA
138,"2",1.38333333333333,66.7416666666667,48.1333333333333,41.375,NA,2,3,3,3,NA
139,"2",0.0166666666666667,0.05,0.025,3.275,NA,1,2,3,5,NA
140,"2",0,0.00833333333333333,0.00833333333333333,0.133333333333333,NA,0,1,3,3,NA
141,"2",1.40833333333333,27.6416666666667,31.8916666666667,36.625,NA,2,3,4,4,NA
172,"3",0,0.00833333333333333,0.258333333333333,0.266666666666667,NA,2,2,1,1,NA
186,"3",0,0,0,0,NA,0,0,1,1,NA
188,"3",0,0,0,0,NA,0,0,0,0,NA
189,"3",0.625,33.4916666666667,43.8166666666667,66.8916666666667,NA,2,4,3,4,NA
190,"3",22.3333333333333,29.025,31.625,47.2666666666667,NA,2,3,3,3,NA
191,"3",0.05,1.775,0.0583333333333333,0.575,NA,2,2,2,2,NA
192,"3",0.95,5.38333333333333,1.91666666666667,0.583333333333333,NA,2,2,2,2,NA
193,"3",0,0,0,0,NA,0,0,1,0,NA
194,"3",0.00833333333333333,0.00833333333333333,0,0,NA,1,1,0,0,NA
195,"3",0,0,0,0,NA,0,1,1,0,NA
196,"3",0,0,0,0,NA,0,0,0,0,NA
198,"3",0,0,0,0.00833333333333333,NA,0,1,1,3,NA
269,"4",0,0,0,0,NA,0,0,0,0,NA
270,"4",0,0,0,0,NA,0,0,0,0,NA
271,"4",0,0,0,0,NA,0,0,0,0,NA
296,"4",3.25,6.81666666666667,1.63333333333333,0.4,NA,2,2,3,2,NA
297,"4",0.0333333333333333,0.0166666666666667,0.0333333333333333,4.025,NA,2,2,2,3,NA
298,"4",14.3916666666667,31.425,9.18333333333333,5.975,NA,2,2,3,5,NA
299,"4",0.00833333333333333,0.025,0.0333333333333333,1.08333333333333,NA,2,2,2,2,NA
300,"4",0,0,0,0,NA,0,0,0,1,NA
301,"4",0,2.15833333333333,7.8,3.68333333333333,NA,0,2,1,2,NA
302,"4",0,0,0,0,NA,1,1,1,1,NA
305,"4",0,0,0,0,NA,0,0,0,0,NA
308,"4",0,0.0166666666666667,0.00833333333333333,0,NA,1,1,1,2,NA
313,"4",0,0,0,0,NA,0,1,0,0,NA
369,"3",NA,22.875,11.9083333333333,9.625,NA,NA,2,2,3,NA
