"ScientificName","CommonName","cycle_1","cycle_2","cycle_3","cycle_4","cycle_5"
"Ailanthus altissima","Tree of heaven",3,1,0,2,0
"Celastrus orbiculatus","oriental bittersweet",1,1,1,3,0
"Euonymus","burningbush",0,0,0,0,1
"Ligustrum","privet",1,4,7,13,4
"Lonicera - Exotic","honeysuckle - exotic",3,1,0,0,0
"Lonicera japonica","Japanese honeysuckle",17,21,20,20,6
"Microstegium vimineum","Japanese stiltgrass",13,19,21,18,6
"Persicaria longiseta","Oriental lady's thumb",6,8,9,7,4
"Persicaria perfoliata","Asiatic tearthumb",0,1,1,0,0
"Rosa multiflora","multiflora rose",3,2,3,2,0
